,drummer,session,opus,tempo,genre,ts,length,fail
237,6,3,4,127,rock,4/4,88.0,
238,6,3,5,180,rock,4/4,110.0,
239,6,3,6,88,rock,4/4,63.0,
240,6,3,7,88,rock,4/4,46.0,
241,7,1,1,86,rock,4/4,81.0,
242,7,1,7,93,rock,4/4,12.0,
243,7,1,8,93,rock,4/4,65.0,
244,7,1,9,93,rock,4/4,39.0,
245,7,1,10,93,rock,4/4,31.0,
246,7,1,11,93,rock,4/4,24.0,
247,7,1,12,102,funk,4/4,24.0,
248,7,1,13,102,funk,4/4,41.0,
249,7,1,14,100,jazz,4/4,25.0,
250,7,1,15,112,jazz,4/4,43.0,
251,7,1,16,100,hiphop,4/4,19.0,
252,7,1,17,100,hiphop,4/4,36.0,
253,7,1,18,100,hiphop,4/4,10.0,
254,7,1,22,100,hiphop,4/4,9.0,1.0
255,7,1,25,100,hiphop,4/4,1.0,
256,7,1,38,100,hiphop,4/4,11.0,
257,7,1,39,100,hiphop,4/4,10.0,
258,7,1,40,100,hiphop,4/4,7.0,
259,7,2,1,120,rock,4/4,33.0,
260,7,2,2,120,rock,4/4,5.0,
261,7,2,3,120,rock,4/4,2.0,
262,7,2,4,120,rock,4/4,6.0,
263,7,2,5,120,rock,4/4,1.0,
264,7,2,6,120,rock,4/4,23.0,
265,7,2,7,120,rock,4/4,4.0,
266,7,2,8,95,rock,4/4,43.0,
267,7,2,12,95,rock,4/4,3.0,
268,7,2,14,95,rock,4/4,15.0,
269,7,2,15,118,rock,4/4,57.0,1.0
270,7,2,22,118,rock,4/4,1.0,
271,7,2,24,118,rock,4/4,9.0,
272,7,2,26,118,rock,4/4,18.0,
273,7,2,27,75,rock,4/4,35.0,
274,7,2,29,75,rock,4/4,11.0,
275,7,2,30,75,rock,4/4,3.0,
276,7,2,33,75,rock,4/4,9.0,
277,7,2,37,112,rock,4/4,65.0,1.0
278,7,2,45,135,rock,4/4,40.0,
279,7,2,46,135,rock,4/4,18.0,
280,7,2,49,135,rock,4/4,9.0,
281,7,2,53,135,rock,4/4,17.0,
282,7,2,54,148,soul,4/4,65.0,
283,7,2,55,148,soul,4/4,2.0,
284,7,2,63,148,soul,4/4,17.0,
285,7,2,64,145,rock,4/4,49.0,
286,7,2,72,100,funk,4/4,45.0,
287,7,2,76,100,funk,4/4,2.0,
288,7,2,77,100,funk,4/4,4.0,
289,7,2,78,100,funk,4/4,2.0,
290,7,2,79,100,funk,4/4,10.0,1.0
291,7,2,80,78,country,4/4,48.0,
292,7,2,87,75,hiphop,4/4,45.0,
293,7,2,92,75,hiphop,4/4,4.0,3.0
294,7,2,93,75,hiphop,4/4,9.0,1.0
295,7,2,96,142,pop,4/4,51.0,
296,7,2,97,142,pop,4/4,20.0,1.0
297,7,2,100,142,pop,4/4,17.0,
298,7,2,101,142,pop,4/4,24.0,1.0
299,7,2,102,132,pop,4/4,7.0,
300,7,2,103,132,pop,4/4,26.0,
301,7,2,104,132,pop,4/4,27.0,
302,7,2,105,132,pop,4/4,11.0,1.0
303,7,2,106,104,soul,4/4,37.0,
304,7,2,108,104,soul,4/4,21.0,
305,7,2,112,96,jazz,4/4,17.0,
306,7,2,113,96,jazz,4/4,18.0,
307,7,2,114,96,jazz,4/4,8.0,
308,7,2,115,96,jazz,4/4,24.0,
309,7,2,123,140,hiphop,4/4,65.0,1.0
310,7,3,1,60,rock,4/4,20.0,
311,7,3,10,60,rock,4/4,25.0,2.0
312,7,3,11,83,pop,4/4,48.0,
313,7,3,22,83,pop,4/4,17.0,
314,7,3,23,83,pop,4/4,9.0,
315,7,3,24,67,hiphop,4/4,27.0,5.0
316,7,3,38,67,hiphop,4/4,17.0,
317,7,3,39,63,rock,4/4,39.0,
318,7,3,46,63,rock,4/4,16.0,
319,7,3,47,112,funk,4/4,45.0,
320,7,3,48,112,funk,4/4,6.0,
321,7,3,49,112,funk,4/4,16.0,
322,7,3,64,112,funk,4/4,16.0,
323,7,3,65,112,funk,4/4,38.0,
324,7,3,67,93,neworleans,4/4,48.0,9.0
325,7,3,91,93,neworleans,4/4,14.0,1.0
326,7,3,92,70,hiphop,4/4,41.0,5.0
327,7,3,106,70,hiphop,4/4,16.0,1.0
328,7,3,108,95,rock,4/4,43.0,
329,7,3,109,95,rock,4/4,17.0,
330,7,3,117,95,rock,4/4,9.0,
331,7,3,119,95,rock,4/4,8.0,
332,7,3,120,93,rock,4/4,37.0,9.0
333,7,3,129,93,rock,4/4,20.0,7.0
334,7,3,130,105,soul,4/4,12.0,
335,7,3,131,105,soul,4/4,14.0,
336,7,3,132,105,soul,4/4,48.0,2.0
337,7,3,133,105,soul,4/4,27.0,
338,7,3,150,105,soul,4/4,24.0,
339,7,3,151,98,soul,4/4,36.0,6.0
340,7,3,159,98,soul,4/4,12.0,1.0
341,8,1,1,95,funk,4/4,104.0,1.0
342,8,1,2,95,funk,4/4,64.0,2.0
343,8,1,3,90,hiphop,4/4,15.0,
344,8,1,4,90,hiphop,4/4,43.0,
345,8,1,5,90,hiphop,4/4,48.0,1.0
346,8,1,6,80,funk,4/4,56.0,
347,8,1,7,80,funk,4/4,52.0,2.0
348,8,1,8,96,funk,4/4,64.0,
349,8,1,9,96,funk,4/4,40.0,1.0
350,8,1,10,82,neworleans,4/4,53.0,
351,8,1,11,82,neworleans,4/4,44.0,1.0
352,8,1,12,118,latin,4/4,75.0,2.0
353,8,1,13,118,latin,4/4,68.0,1.0
354,8,1,14,94,hiphop,4/4,64.0,
355,8,1,15,94,hiphop,4/4,72.0,3.0
356,8,1,16,90,afrobeat,4/4,72.0,6.0
357,8,1,17,90,afrobeat,4/4,57.0,8.0
358,8,1,18,108,funk,4/4,70.0,
359,8,1,19,108,funk,4/4,85.0,5.0
360,8,1,20,112,rock,4/4,73.0,3.0
361,8,1,21,112,rock,4/4,65.0,2.0
362,8,1,22,115,funk,4/4,121.0,2.0
363,8,1,23,70,hiphop,4/4,56.0,10.0
364,8,1,24,100,funk,4/4,81.0,2.0
365,8,1,25,100,funk,4/4,53.0,2.0
366,8,1,26,94,afrobeat,4/4,77.0,3.0
367,8,1,27,122,latin,4/4,100.0,6.0
368,8,1,28,102,rock,4/4,83.0,1.0
369,8,2,1,92,funk,4/4,66.0,
370,8,2,2,92,funk,4/4,141.0,4.0
